id_chamado,id_terminal,id_cliente,tipo_chamado,motivo_chamado,data_abertura_chamado,data_fechamento_chamado
257750510,33300187-5,5291876831608271,MANUTENCAO,PROBLEMA NA BATERIA,2024-07-15,2024-07-21
573624925,57905434-3,9136964804073730,MANUTENCAO,PROBLEMA COM CONEXAO,2024-11-30,2024-12-01
372901889,78180379-8,7970623972652735,MANUTENCAO,PROBLEMA NA TELA,2025-09-05,2025-09-09
167819297,20662607-7,4907938841368528,MANUTENCAO,OUTROS,2025-05-16,2025-05-18
290388026,55617225-8,2234232161107603,MANUTENCAO,OUTROS,2023-09-20,2023-09-22
257225795,34152430-7,1713023212983381,MANUTENCAO,MAQUINA NAO LIGA,2024-06-10,2024-06-13
302712191,91461995-2,2023684855716176,MANUTENCAO,PROBLEMA NO LEITOR,2024-11-05,2024-11-08
673404050,98814974-5,3325848689993607,MANUTENCAO,OUTROS,2025-02-02,2025-02-03
451710772,92435995-9,3510046277657256,SUPORTE,PROBLEMA NO LEITOR,2022-05-06,2022-05-14
638552435,77515432-6,2313799818100962,SUPORTE,MAQUINA NAO LIGA,2024-11-13,2024-11-20
757952066,54592113-9,5518426945005342,MANUTENCAO,PROBLEMA COM TECLADO,2025-08-11,2025-08-13
471006196,93653898-7,0696261684552527,MANUTENCAO,PROBLEMA COM CONEXAO,2025-01-02,2025-01-08
849163677,43783663-7,7692743811995376,SUPORTE,PROBLEMA NA TELA,2025-08-08,2025-08-10
933443158,86668481-4,7894332763990460,MANUTENCAO,PROBLEMA NO LEITOR,2024-09-12,2024-09-13
658981577,79331793-5,6129390025121375,SUPORTE,PROBLEMA COM TECLADO,2025-10-21,2025-10-24
262106904,82432275-7,8224216826822175,SUPORTE,OUTROS,2021-09-19,2021-09-20
636446537,40656954-8,4450020268387890,MANUTENCAO,PROBLEMA NA BATERIA,2025-07-17,2025-07-22
730903317,93711774-8,6072311127128524,MANUTENCAO,PROBLEMA NA BATERIA,2024-09-13,2024-09-15
317778013,68745393-8,6631931491905865,MANUTENCAO,PROBLEMA NO LEITOR,2025-12-14,2025-12-15
801991430,88765209-1,2045561100225579,MANUTENCAO,PROBLEMA NO LEITOR,2024-09-02,2024-09-03
752058084,43728273-4,9247411173670386,SUPORTE,PROBLEMA NA BATERIA,2023-05-20,2023-05-23
707663139,89386142-3,6163034383000914,MANUTENCAO,OUTROS,2025-09-16,2025-09-20
774230150,17690104-4,8626751199764534,SUPORTE,PROBLEMA NO LEITOR,2025-09-19,2025-09-27
256399558,47027175-2,8590262976116628,SUPORTE,PROBLEMA COM CONEXAO,2025-06-03,2025-06-04
667307080,45567457-4,4907938841368528,MANUTENCAO,PROBLEMA NA TELA,2024-03-24,2024-03-30
306548913,67381014-5,2748979177633427,MANUTENCAO,OUTROS,2023-01-05,2023-01-07
282653765,52933672-3,3430107139660558,MANUTENCAO,PROBLEMA NA BATERIA,2025-07-10,2025-07-13
842784156,31309629-5,2380617445187053,MANUTENCAO,PROBLEMA COM CONEXAO,2024-05-18,2024-05-21
907690830,17690104-4,8626751199764534,MANUTENCAO,PROBLEMA NA TELA,2025-09-07,2025-09-10
190802809,87589094-2,9180172260164597,MANUTENCAO,PROBLEMA COM CONEXAO,2022-04-10,2022-04-11
800809834,80536818-5,3553730964969277,MANUTENCAO,PROBLEMA NO LEITOR,2023-06-30,2023-07-05
852014459,56644169-5,3488933437518669,MANUTENCAO,OUTROS,2024-10-27,2024-11-01
174722177,99416819-0,8908386379402654,SUPORTE,PROBLEMA NO LEITOR,2024-09-21,2024-09-27
