id_terminal,id_cliente,segmento_cliente,setor_cliente,modelo,data_registro
61452592-8,1433629994664509,Empreendedores,Postos de Gasolina,L300,2024-02-27
73832068-0,5869507321464493,Varejistas,Restaurantes,S920,2021-02-19
75736846-9,0046358068828503,Grandes contas,Restaurantes,ME60,2022-05-14
23368436-6,1354741685573952,Empreendedores,Farmacias,ME60,2022-02-10
70980810-3,5383388487920698,Empreendedores,Farmacias,ME60,2024-08-19
96075491-8,3265097753967379,Empreendedores,Shoppings,S920,2024-05-04
28263801-5,1481160499100420,Varejistas,Shoppings,LIO V3,2025-05-26
24992481-2,3043502385022894,Grandes contas,Padarias,LIO V3,2021-06-11
62436997-5,2640093339637902,Varejistas,Restaurantes,LIO V3,2023-02-02
47255211-1,1286823004786863,Varejistas,Tecnologia,SP930,2021-02-28
36853961-9,1408633234306587,Empreendedores,Restaurantes,S920,2022-02-02
81572966-6,6192372450184819,Grandes contas,Restaurantes,S920C,2023-07-02
47558179-3,5344902166670808,Empreendedores,Padarias,D195,2021-02-22
69353484-7,3998245587716947,Varejistas,Postos de Gasolina,SP930,2021-12-28
37402481-6,7990966602865383,Varejistas,Mercados,L400,2024-03-17
65640081-7,0465586652548374,Grandes contas,Padarias,L300,2023-09-11
81686996-7,5881537147321046,Grandes contas,Automotivos,LIO V3,2022-02-05
84232291-8,4633891562415285,Empreendedores,Tecnologia,L400,2023-11-29
25712376-3,9900937814604761,Varejistas,Postos de Gasolina,L300,2024-12-28
30275090-0,1447432811659930,Grandes contas,Farmacias,LIO V3,2021-01-17
87917351-4,3255398358446177,Varejistas,Restaurantes,S920C,2024-12-22
27185460-9,8480752034476504,Varejistas,Farmacias,S920,2024-06-12
33603201-8,7685760634942904,Empreendedores,Postos de Gasolina,S920C,2022-09-08
74468152-4,8986061065673374,Empreendedores,Postos de Gasolina,S920,2021-10-12
95082171-4,1307221138690871,Varejistas,Farmacias,D195,2025-09-20
66525228-4,8309451548094047,Grandes contas,Shoppings,L400,2022-09-02
13690263-3,4168784991216558,Varejistas,Farmacias,ME60,2021-06-21
54047373-5,3008823846990867,Empreendedores,Tecnologia,ME60,2021-06-28
93347064-8,7046226567661825,Empreendedores,Restaurantes,D195,2025-03-07
39712606-8,7112229907756085,Grandes contas,Farmacias,S920C,2023-12-25
92848703-9,6042276346019153,Empreendedores,Farmacias,L400,2024-12-24
77088403-6,4761442787355404,Varejistas,Padarias,ME60,2024-08-07
53192809-7,4038453198074682,Empreendedores,Postos de Gasolina,ME60,2023-08-26
42842430-1,4870847795417675,Empreendedores,Restaurantes,D195,2025-10-18
83064767-7,9271472463019864,Empreendedores,Automotivos,S920C,2022-11-16
67032244-3,0036385646149745,Grandes contas,Automotivos,S920C,2023-09-23
78826793-9,6519398280737416,Grandes contas,Shoppings,LIO V3,2025-02-02
64824544-8,8375056618632397,Varejistas,Restaurantes,L300,2024-01-21
68677199-3,6594818272913675,Empreendedores,Postos de Gasolina,L300,2025-04-01
29378307-3,2234778045797251,Grandes contas,Mercados,S920,2023-11-08
42658626-4,5117160398863653,Varejistas,Automotivos,ME60,2024-06-23
51025856-9,2128671632346729,Varejistas,Restaurantes,S920,2021-03-29
64587643-7,4717099917381684,Varejistas,Mercados,SP930,2022-02-19
59014929-0,4234258323024102,Varejistas,Postos de Gasolina,D195,2022-06-09
13546116-9,8590673963428987,Varejistas,Shoppings,LIO V3,2021-05-29
73151137-9,5735323661850761,Grandes contas,Padarias,SP930,2022-02-27
42485111-7,1991808121352478,Grandes contas,Automotivos,S920C,2021-07-06
38136719-8,0162456506098358,Grandes contas,Postos de Gasolina,L300,2022-05-19
15977036-2,5205664742312209,Empreendedores,Shoppings,L300,2024-02-21
18700779-2,4000208601460519,Grandes contas,Restaurantes,ME60,2022-10-22
74535451-2,3882145841484601,Grandes contas,Postos de Gasolina,LIO V3,2022-11-01
52150172-9,7485972438712951,Empreendedores,Postos de Gasolina,ME60,2022-01-17
13854030-5,4565386947902548,Empreendedores,Shoppings,S920C,2022-04-30
23108919-8,5766808950491086,Empreendedores,Restaurantes,L300,2025-08-14
18731930-5,3011962272386974,Empreendedores,Mercados,SP930,2024-03-14
54823092-7,9431487225578564,Varejistas,Shoppings,L400,2024-01-04
26976965-7,9382761539669583,Varejistas,Restaurantes,D195,2021-11-09
41113610-5,1761302364169368,Empreendedores,Farmacias,ME60,2024-08-06
78458821-1,4307536661449429,Empreendedores,Mercados,ME60,2021-10-26
74930620-4,4488839237590972,Empreendedores,Automotivos,D195,2022-11-18
30756902-6,8099839767388724,Varejistas,Restaurantes,D195,2025-11-17
46327630-6,9050965688267280,Varejistas,Farmacias,D195,2024-02-28
43442775-0,4813004169105302,Varejistas,Restaurantes,S920,2023-10-02
74553778-1,2723626693351342,Grandes contas,Restaurantes,S920C,2024-05-18
72956668-4,9258796434745245,Empreendedores,Tecnologia,L300,2025-02-26
65552368-5,9489786103131009,Varejistas,Farmacias,ME60,2024-10-29
50994840-2,2354340466821215,Empreendedores,Padarias,ME60,2022-02-21
44895909-4,3410341413181181,Varejistas,Automotivos,L400,2021-03-04
11865954-1,3325411076095431,Grandes contas,Restaurantes,ME60,2022-07-26
57701144-8,1437769366343925,Empreendedores,Shoppings,L300,2022-05-01
43494200-5,1278686694320293,Varejistas,Padarias,ME60,2022-01-19
41557391-8,9062344565574313,Empreendedores,Mercados,LIO V3,2025-08-25
60703850-3,4196156078327488,Grandes contas,Tecnologia,S920C,2025-04-28
45851995-4,7970509754510526,Empreendedores,Shoppings,LIO V3,2022-07-24
62943896-4,7307177613500788,Empreendedores,Tecnologia,D195,2024-03-27
26760328-7,7309850344651241,Varejistas,Tecnologia,S920C,2022-12-17
75776682-3,7309850344651241,Empreendedores,Shoppings,D195,2025-07-05
17338859-1,6708488686562925,Varejistas,Tecnologia,S920,2023-04-09
62676442-4,5918327000466614,Varejistas,Tecnologia,L300,2022-04-26
37148705-8,3607854833095872,Empreendedores,Mercados,L400,2022-03-24
54986376-0,6841013282339218,Varejistas,Restaurantes,S920C,2023-10-10
30288193-2,4234258323024102,Varejistas,Padarias,L400,2022-04-22
21281365-1,2994680443699577,Grandes contas,Mercados,D195,2023-11-21
11844317-0,4461198309754247,Empreendedores,Shoppings,ME60,2025-06-05
53088140-9,5774491609365952,Varejistas,Mercados,D195,2022-12-23
26827441-7,7496033582686270,Empreendedores,Automotivos,S920,2022-02-03
86071767-1,9239231260432609,Grandes contas,Restaurantes,SP930,2025-12-01
37952739-9,1172264147569001,Varejistas,Automotivos,SP930,2023-07-09
88963975-1,9063224815542034,Varejistas,Farmacias,D195,2021-06-18
96618051-8,5966018648769984,Grandes contas,Shoppings,D195,2021-03-31
84843081-3,8525482421838545,Varejistas,Mercados,LIO V3,2021-07-21
82546344-1,0988392053021465,Empreendedores,Tecnologia,S920C,2024-02-06
32362187-0,8078053833856932,Varejistas,Mercados,S920C,2024-11-27
41045886-8,8747811282699345,Grandes contas,Farmacias,ME60,2023-02-02
16509993-1,8474134019293605,Empreendedores,Padarias,D195,2021-04-30
98496806-5,5881537147321046,Empreendedores,Postos de Gasolina,L400,2022-11-22
14742547-3,3212440293634094,Varejistas,Restaurantes,L400,2025-11-29
89829473-1,5461033993788614,Empreendedores,Automotivos,LIO V3,2023-08-13
46804875-6,0470125928339717,Varejistas,Mercados,L400,2025-10-15
71536679-6,2002585653377730,Varejistas,Postos de Gasolina,D195,2025-03-31
71848990-7,6149828246747468,Empreendedores,Mercados,LIO V3,2021-01-26
51401403-3,9063224815542034,Grandes contas,Postos de Gasolina,L300,2024-07-22
89397755-8,7058162951877941,Varejistas,Padarias,S920C,2024-05-13
51496756-5,3542687447017320,Empreendedores,Padarias,L400,2023-08-27
38937334-7,9643385324725058,Varejistas,Postos de Gasolina,L400,2022-04-29
75657473-8,1219656523413899,Varejistas,Tecnologia,ME60,2024-03-01
54685285-7,8940626078701041,Varejistas,Tecnologia,SP930,2021-07-25
35547740-7,7240422693121637,Grandes contas,Mercados,SP930,2023-02-25
77895372-8,5604945198327315,Varejistas,Tecnologia,L300,2023-03-31
86169677-7,8010419453419528,Empreendedores,Farmacias,L400,2025-09-14
39846710-3,6923273798979060,Empreendedores,Mercados,LIO V3,2025-04-27
31254363-7,2498663420953677,Grandes contas,Postos de Gasolina,L400,2022-04-23
29959779-4,8356743000389608,Varejistas,Tecnologia,ME60,2023-06-23
32306394-9,4580151764296280,Varejistas,Tecnologia,D195,2021-11-22
12157512-9,4876507752572316,Empreendedores,Mercados,SP930,2025-07-02
44936859-0,1785221158718452,Varejistas,Shoppings,D195,2025-04-17
41623915-3,0260127961143519,Empreendedores,Restaurantes,S920C,2022-06-25
24181622-3,1433629994664509,Grandes contas,Mercados,LIO V3,2024-02-26
17601140-7,3028655052241142,Varejistas,Restaurantes,ME60,2024-01-04
97178319-1,2537657692778943,Empreendedores,Farmacias,L300,2021-10-07
54592113-9,5518426945005342,Empreendedores,Mercados,ME60,2024-10-05
84034055-9,3450295867603040,Grandes contas,Restaurantes,S920C,2023-09-01
27089237-3,6622654016599530,Grandes contas,Farmacias,S920C,2024-11-03
73026472-8,3195085016579055,Varejistas,Tecnologia,ME60,2023-08-15
82790574-8,3435486952121560,Empreendedores,Padarias,L400,2021-01-07
78356669-4,0430977688936289,Empreendedores,Shoppings,L400,2022-08-10
49237816-4,2543107427990772,Varejistas,Shoppings,LIO V3,2021-02-09
89161204-2,1433629994664509,Grandes contas,Mercados,SP930,2025-07-31
61489039-0,8626736648532077,Varejistas,Mercados,L400,2025-05-02
80631820-4,8070473148368747,Varejistas,Farmacias,S920,2025-02-06
47321075-6,2970137124365858,Varejistas,Postos de Gasolina,ME60,2022-07-11
41402960-4,1337687058079106,Empreendedores,Automotivos,D195,2021-04-19
23738800-7,3818655078468509,Empreendedores,Mercados,LIO V3,2025-05-01
16318880-7,3752431069033119,Varejistas,Restaurantes,S920C,2025-09-01
14080116-4,4217518878179415,Grandes contas,Farmacias,SP930,2021-06-08
59847583-5,1700327628058777,Varejistas,Automotivos,S920,2023-05-28
42587759-6,1665876036690967,Grandes contas,Farmacias,SP930,2021-05-10
95327009-1,6760564204565775,Grandes contas,Mercados,SP930,2024-10-02
46203148-2,2387940262085817,Empreendedores,Postos de Gasolina,S920,2024-10-11
27813746-2,4876507752572316,Grandes contas,Tecnologia,L400,2021-08-24
75224158-5,4290018513279724,Varejistas,Farmacias,S920C,2023-05-09
12454079-7,4554781376742662,Grandes contas,Mercados,L400,2023-09-19
23896489-2,9025476022069535,Empreendedores,Padarias,L300,2022-04-26
54292729-5,6101438889937567,Empreendedores,Automotivos,S920,2025-04-21
98305347-6,7493549210181889,Varejistas,Tecnologia,S920,2023-02-04
96440788-5,3710307372607201,Varejistas,Padarias,L400,2022-01-21
